1.;Физические лица, как участники гражданских правоотношений;Статья 30 ГК РФ;Какие сделки вправе самостоятельно совершать гражданин, ограниченный судом в дееспособности вследствие злоупотребления  спиртными напитками  или наркотическими веществами;;;;;;;;;;;;;;;;;;;;;;
;; Гражданин, который вследствие злоупотребления спиртными напитками или наркотическими средствами ставит свою семью в тяжелое материальное положение, может быть ограничен судом в дееспособности в порядке, установленном гражданским процессуальным законодательством. Над ним устанавливается попечительство.;;;Вносить вклады в кредитные учреждения и распоряжаться  ими;1Мелкие бытовые сделки;Распоряжаться своим заработком, стипендией, иными доходами;;;;;;;;;;;;;;;;;;
;;Он вправе самостоятельно совершать мелкие бытовые сделки.;;;;;;;;;;;;;;;;;;;;;;;
2.;;Ст.29 ГК РФ Признание гражданина недееспособным;В каких случаях  требуется разрешение органов опеки  и попечительства  при продаже жилых  помещений?;;;;;;;;;;;;;;;;;;;;;;
;;1. Гражданин, который вследствие психического расстройства не может понимать значения своих действий или руководить ими, может быть признан судом недееспособным в порядке, установленном гражданским процессуальным законодательством. Над ним устанавливается опека.;;;Если собственником является гражданин, признанный судом недееспособным.;Если в жилом помещении зарегистрирован несовершеннолетний ребенок, оставшийся без попечения родителей или находящийся под опекой.;Если несовершеннолетний ребенок является собственником жилого помещения.;1Все варианты;;;;;;;;;;;;;;;;;
;;2. От имени гражданина, признанного недееспособным, сделки совершает его опекун.;;;;;;;;;;;;;;;;;;;;;;;
;;3. Если основания, в силу которых гражданин был признан недееспособным, отпали, суд признает его дееспособным. На основании решения суда отменяется установленная над ним опека.;;;;;;;;;;;;;;;;;;;;;;;
;;Статья 37. ГК РФ Распоряжение имуществом подопечного;;;;;;;;;;;;;;;;;;;;;;;
;;2. Опекун не вправе без предварительного разрешения органа опеки и попечительства совершать, а попечитель - давать согласие на совершение сделок по отчуждению, в том числе обмену или дарению имущества подопечного, сдаче его внаем (в аренду), в безвозмездное пользование или в залог, сделок, влекущих отказ от принадлежащих подопечному прав, раздел его имущества или выдел из него долей, а также любых других сделок, влекущих уменьшение имущества подопечного.;;;;;;;;;;;;;;;;;;;;;;;
;;"Порядок управления имуществом подопечного определяется Федеральным законом ""Об опеке и попечительстве"".";;;;;;;;;;;;;;;;;;;;;;;
;;Статья 60. СК РФ Имущественные права ребенка;;;;;;;;;;;;;;;;;;;;;;;
;;3. Ребенок имеет право собственности на доходы, полученные им, имущество, полученное им в дар или в порядке наследования, а также на любое другое имущество, приобретенное на средства ребенка.;;;;;;;;;;;;;;;;;;;;;;;
;;Право ребенка на распоряжение принадлежащим ему на праве собственности имуществом определяется статьями 26 и 28 Гражданского кодекса Российской Федерации.;;;;;;;;;;;;;;;;;;;;;;;
;;При осуществлении родителями правомочий по управлению имуществом ребенка на них распространяются правила, установленные гражданским законодательством в отношении распоряжения имуществом подопечного (статья 37 Гражданского кодекса Российской Федерации).;;;;;;;;;;;;;;;;;;;;;;;
3.;;Статья 2     Закон ?О приватизации жилищного фонда в РФ?;Возможно ли приватизировать жилое помещение только на несовершеннолетнего ребенка? Выберите все возможные правильные из предложенных вариантов ответов.;;;;;;;;;;;;;;;;;;;;;;
;;Жилые помещения, в которых проживают исключительно несовершеннолетние в возрасте до 14 лет, передаются им в собственность по заявлению родителей (усыновителей), опекунов с предварительного разрешения органов опеки и попечительства либо по инициативе указанных органов. Жилые помещения, в которых проживают исключительно несовершеннолетние в возрасте от 14 до 18 лет, передаются им в собственность по их заявлению с согласия родителей (усыновителей), попечителей и органов опеки и попечительства.;;;1Возможно только с согласия родителей;Невозможно ни при каких условиях;1Возможно с разрешения органов опеки  и попечительства;Возможно в любом случае;;;;;;;;;;;;;;;;;
4.;;Ст.575 ГК РФ;Допускается ли дарение недвижимого имущества от имени несовершеннолетнего ребенка, не достигшего четырнадцати лет (малолетнего)?;;;;;;;;;;;;;;;;;;;;;;
;;Не допускается дарение, за исключением обычных подарков, стоимость которых не превышает трех тысяч рублей:;;;Допускается с согласия органов опеки и   попечительства;Допускается с согласия законных представителей;1Не допускается;;;;;;;;;;;;;;;;;;
;;(в ред. Федерального закона от 25.12.2008 N 280-ФЗ);;;;;;;;;;;;;;;;;;;;;;;
;;"от имени малолетних и граждан, признанных недееспособными, их законными представителями;";;;;;;;;;;;;;;;;;;;;;;;
5.;;Статья 17 ГК РФ;С какого  возраста  гражданин приобретает правоспособность?;;;;;;;;;;;;;;;;;;;;;;
;; 1. Способность иметь гражданские права и нести обязанности (гражданская правоспособность) признается в равной мере за всеми гражданами.;;;1С рождения;С 16 лет;С 18 лет;;;;;;;;;;;;;;;;;;
;;2. Правоспособность гражданина возникает в момент его рождения и прекращается смертью.;;;;;;;;;;;;;;;;;;;;;;;
6.;;Статья 42 ГК РФ;По истечении,  какого срока гражданин может быть  признан безвестно отсутствующим?;;;;;;;;;;;;;;;;;;;;;;
